# Residuals   
# Time        	Ux            	Uy            	p             
0             	N/A           	N/A           	N/A           
0.0005        	1.000000e+00	1.000000e+00	1.000000e+00
0.001         	4.116273e-01	4.542688e-01	1.601873e-01
0.0015        	1.893662e-01	2.025592e-01	1.343399e-01
0.002         	3.591239e-02	4.536077e-02	2.373143e-01
0.0025        	1.369006e-01	1.293924e-01	2.342635e-01
0.003         	1.704325e-01	1.428333e-01	2.026084e-01
0.0035        	6.136008e-02	4.052340e-02	3.970083e-01
0.004         	6.089643e-02	3.544441e-02	2.399981e-01
0.0045        	6.345829e-02	3.762393e-02	1.566251e-01
0.005         	3.245796e-02	2.373337e-02	1.902886e-01
0.0055        	2.032749e-02	1.901920e-02	3.936620e-01
0.006         	2.688654e-02	2.162716e-02	4.609943e-01
0.0065        	2.092878e-02	1.657523e-02	5.234029e-01
0.007         	1.503159e-02	1.083055e-02	2.404248e-01
0.0075        	1.492390e-02	1.006720e-02	1.499389e-01
0.008         	1.374511e-02	9.861740e-03	1.254466e-01
0.0085        	1.177018e-02	9.148991e-03	1.329865e-01
0.009         	1.127632e-02	9.097631e-03	1.482094e-01
0.0095        	1.089375e-02	8.739399e-03	1.365301e-01
0.01          	1.034893e-02	7.937824e-03	1.113415e-01
0.0105        	9.912527e-03	7.223957e-03	8.624922e-02
0.011         	9.585016e-03	6.891731e-03	7.014810e-02
0.0115        	9.313058e-03	6.749469e-03	6.323173e-02
0.012         	9.120003e-03	6.681445e-03	5.971797e-02
0.0125        	8.964744e-03	6.573942e-03	5.557070e-02
0.013         	8.813464e-03	6.375366e-03	5.029197e-02
0.0135        	8.689394e-03	6.168991e-03	4.400899e-02
0.014         	8.592285e-03	5.983835e-03	3.797172e-02
0.0145        	8.491358e-03	5.838384e-03	3.388240e-02
0.015         	8.391553e-03	5.722101e-03	3.108000e-02
0.0155        	8.306037e-03	5.626512e-03	2.876537e-02
0.016         	8.242116e-03	5.532216e-03	2.662499e-02
0.0165        	8.196626e-03	5.430677e-03	2.455710e-02
0.017         	8.160252e-03	5.331190e-03	2.243361e-02
0.0175        	8.119895e-03	5.238574e-03	2.056603e-02
0.018         	8.075203e-03	5.153035e-03	1.913980e-02
0.0185        	8.034425e-03	5.077857e-03	1.788395e-02
0.019         	8.004292e-03	5.007459e-03	1.676502e-02
0.0195        	7.981974e-03	4.937355e-03	1.579947e-02
0.02          	7.962518e-03	4.867718e-03	1.500718e-02
0.0205        	7.943831e-03	4.799721e-03	1.417036e-02
0.021         	7.925410e-03	4.735764e-03	1.335530e-02
0.0215        	7.908839e-03	4.677764e-03	1.264626e-02
0.022         	7.895176e-03	4.623821e-03	1.209760e-02
0.0225        	7.884232e-03	4.571476e-03	1.161671e-02
0.023         	7.875409e-03	4.520194e-03	1.116795e-02
0.0235        	7.870356e-03	4.469982e-03	1.075061e-02
0.024         	7.866548e-03	4.421488e-03	1.035407e-02
0.0245        	7.864130e-03	4.376151e-03	9.988871e-03
0.025         	7.863568e-03	4.334017e-03	9.668284e-03
0.0255        	7.863880e-03	4.294069e-03	9.394399e-03
0.026         	7.864343e-03	4.255442e-03	9.154237e-03
0.0265        	7.867767e-03	4.218374e-03	8.928250e-03
0.027         	7.872942e-03	4.182453e-03	8.739846e-03
0.0275        	7.876153e-03	4.147665e-03	8.576711e-03
0.028         	7.878904e-03	4.114302e-03	8.449695e-03
0.0285        	7.881620e-03	4.082772e-03	8.333014e-03
0.029         	7.882867e-03	4.052633e-03	8.223851e-03
0.0295        	7.883304e-03	4.023590e-03	8.122643e-03
0.03          	7.883610e-03	3.995359e-03	8.024894e-03
0.0305        	7.880872e-03	3.967957e-03	7.939793e-03
0.031         	7.877656e-03	3.941727e-03	7.864263e-03
0.0315        	7.873811e-03	3.916631e-03	7.800160e-03
0.032         	7.867397e-03	3.892628e-03	7.737970e-03
0.0325        	7.859858e-03	3.869605e-03	7.675494e-03
0.033         	7.851649e-03	3.847489e-03	7.607749e-03
0.0335        	7.839548e-03	3.826222e-03	7.541730e-03
0.034         	7.829213e-03	3.806022e-03	7.476860e-03
0.0345        	7.815158e-03	3.786712e-03	7.414504e-03
0.035         	7.800064e-03	3.768548e-03	7.357588e-03
0.0355        	7.782845e-03	3.751497e-03	7.307946e-03
0.036         	7.762407e-03	3.735591e-03	7.265127e-03
0.0365        	7.741053e-03	3.720790e-03	7.225826e-03
0.037         	7.717481e-03	3.707092e-03	7.190071e-03
0.0375        	7.691877e-03	3.694509e-03	7.158097e-03
0.038         	7.664260e-03	3.683147e-03	7.130672e-03
0.0385        	7.634422e-03	3.673107e-03	7.106175e-03
0.039         	7.602480e-03	3.664356e-03	7.083799e-03
0.0395        	7.569087e-03	3.656947e-03	7.064179e-03
0.04          	7.533116e-03	3.650814e-03	7.046578e-03
0.0405        	7.495175e-03	3.645914e-03	7.032200e-03
0.041         	7.455545e-03	3.642289e-03	7.020607e-03
0.0415        	7.413913e-03	3.639937e-03	7.011498e-03
0.042         	7.370001e-03	3.638834e-03	7.004335e-03
0.0425        	7.324315e-03	3.639133e-03	7.000006e-03
0.043         	7.277571e-03	3.640781e-03	7.000820e-03
0.0435        	7.228967e-03	3.643841e-03	7.004256e-03
0.044         	7.178431e-03	3.648295e-03	7.011298e-03
0.0445        	7.126832e-03	3.654105e-03	7.020549e-03
0.045         	7.073860e-03	3.661267e-03	7.032110e-03
0.0455        	7.019781e-03	3.669600e-03	7.045053e-03
0.046         	6.964588e-03	3.679031e-03	7.060882e-03
0.0465        	6.909533e-03	3.689366e-03	7.079635e-03
0.047         	6.854628e-03	3.700414e-03	7.100018e-03
0.0475        	6.799494e-03	3.711901e-03	7.122747e-03
0.048         	6.744861e-03	3.723715e-03	7.146571e-03
0.0485        	6.690308e-03	3.735553e-03	7.168382e-03
0.049         	6.636833e-03	3.747209e-03	7.186363e-03
0.0495        	6.583252e-03	3.758543e-03	7.201259e-03
0.05          	6.530788e-03	3.769389e-03	7.214694e-03
0.0505        	6.478729e-03	3.779627e-03	7.227544e-03
0.051         	6.427391e-03	3.789140e-03	7.239076e-03
0.0515        	6.376942e-03	3.797859e-03	7.248479e-03
0.052         	6.327274e-03	3.805670e-03	7.252381e-03
0.0525        	6.277889e-03	3.812441e-03	7.258390e-03
0.053         	6.229204e-03	3.818050e-03	7.266639e-03
0.0535        	6.180499e-03	3.822396e-03	7.271224e-03
0.054         	6.131785e-03	3.825408e-03	7.271491e-03
0.0545        	6.085111e-03	3.826871e-03	7.267090e-03
0.055         	6.036277e-03	3.826708e-03	7.261188e-03
0.0555        	5.985933e-03	3.824779e-03	7.256864e-03
0.056         	5.936157e-03	3.820949e-03	7.246819e-03
0.0565        	5.884008e-03	3.815184e-03	7.231202e-03
0.057         	5.829006e-03	3.807363e-03	7.210170e-03
0.0575        	5.773698e-03	3.797419e-03	7.189076e-03
0.058         	5.716712e-03	3.785306e-03	7.161712e-03
0.0585        	5.657321e-03	3.770930e-03	7.131523e-03
0.059         	5.595710e-03	3.754279e-03	7.101377e-03
0.0595        	5.534240e-03	3.735233e-03	7.067332e-03
0.06          	5.470959e-03	3.713783e-03	7.028254e-03
0.0605        	5.405314e-03	3.689878e-03	6.983485e-03
0.061         	5.338992e-03	3.663525e-03	6.933502e-03
0.0615        	5.273939e-03	3.634686e-03	6.876108e-03
0.062         	5.207711e-03	3.603345e-03	6.818232e-03
0.0625        	5.140820e-03	3.569414e-03	6.754203e-03
0.063         	5.075236e-03	3.532897e-03	6.685259e-03
0.0635        	5.011510e-03	3.493833e-03	6.616268e-03
0.064         	4.947792e-03	3.452293e-03	6.546135e-03
0.0645        	4.883763e-03	3.408134e-03	6.470370e-03
0.065         	4.820790e-03	3.361384e-03	6.388508e-03
0.0655        	4.760349e-03	3.312098e-03	6.300731e-03
0.066         	4.700373e-03	3.260447e-03	6.209484e-03
0.0665        	4.641113e-03	3.206465e-03	6.117575e-03
0.067         	4.583169e-03	3.150154e-03	6.021768e-03
0.0675        	4.527028e-03	3.091719e-03	5.928032e-03
0.068         	4.470484e-03	3.031206e-03	5.837289e-03
0.0685        	4.412957e-03	2.968759e-03	5.744588e-03
0.069         	4.355164e-03	2.904638e-03	5.650223e-03
0.0695        	4.297101e-03	2.839042e-03	5.560728e-03
0.07          	4.237751e-03	2.772006e-03	5.471581e-03
0.0705        	4.177326e-03	2.703763e-03	5.381771e-03
0.071         	4.116985e-03	2.634638e-03	5.294264e-03
0.0715        	4.056418e-03	2.564786e-03	5.210654e-03
0.072         	3.994121e-03	2.494505e-03	5.124979e-03
0.0725        	3.930320e-03	2.424071e-03	5.036668e-03
0.073         	3.864971e-03	2.353765e-03	4.955116e-03
0.0735        	3.799590e-03	2.283748e-03	4.874821e-03
0.074         	3.732518e-03	2.214351e-03	4.793745e-03
0.0745        	3.664127e-03	2.145934e-03	4.711894e-03
0.075         	3.594331e-03	2.078660e-03	4.632805e-03
0.0755        	3.523771e-03	2.012719e-03	4.554012e-03
0.076         	3.452534e-03	1.948519e-03	4.474771e-03
0.0765        	3.380950e-03	1.886179e-03	4.396449e-03
0.077         	3.308863e-03	1.825851e-03	4.319136e-03
0.0775        	3.236400e-03	1.767843e-03	4.241851e-03
0.078         	3.163677e-03	1.712231e-03	4.164211e-03
0.0785        	3.090706e-03	1.659225e-03	4.086912e-03
0.079         	3.018203e-03	1.608965e-03	4.011704e-03
0.0795        	2.946328e-03	1.561686e-03	3.938350e-03
0.08          	2.875279e-03	1.517472e-03	3.865737e-03
0.0805        	2.805088e-03	1.475900e-03	3.796953e-03
0.081         	2.735960e-03	1.437276e-03	3.732276e-03
0.0815        	2.668088e-03	1.401431e-03	3.667823e-03
0.082         	2.601900e-03	1.368538e-03	3.607557e-03
0.0825        	2.537302e-03	1.337482e-03	3.551640e-03
0.083         	2.474777e-03	1.307765e-03	3.498296e-03
0.0835        	2.414310e-03	1.279342e-03	3.445146e-03
0.084         	2.355775e-03	1.252241e-03	3.395554e-03
0.0845        	2.299721e-03	1.226057e-03	3.347795e-03
0.085         	2.245480e-03	1.200782e-03	3.298602e-03
0.0855        	2.193876e-03	1.175579e-03	3.250257e-03
0.086         	2.144461e-03	1.150229e-03	3.203908e-03
0.0865        	2.097605e-03	1.124816e-03	3.160512e-03
0.087         	2.053131e-03	1.100015e-03	3.116777e-03
0.0875        	2.011270e-03	1.075329e-03	3.072723e-03
0.088         	1.971584e-03	1.050484e-03	3.030407e-03
0.0885        	1.934212e-03	1.025649e-03	2.986571e-03
0.089         	1.898626e-03	1.000920e-03	2.942725e-03
0.0895        	1.865062e-03	9.763459e-04	2.900140e-03
0.09          	1.833149e-03	9.519939e-04	2.859383e-03
0.0905        	1.802763e-03	9.280385e-04	2.820114e-03
0.091         	1.773885e-03	9.044240e-04	2.783703e-03
0.0915        	1.746091e-03	8.815437e-04	2.747951e-03
0.092         	1.719154e-03	8.591718e-04	2.711631e-03
0.0925        	1.693132e-03	8.374832e-04	2.677487e-03
0.093         	1.667709e-03	8.167485e-04	2.644068e-03
0.0935        	1.642186e-03	7.967631e-04	2.610127e-03
0.094         	1.616590e-03	7.777228e-04	2.576491e-03
0.0945        	1.590877e-03	7.598202e-04	2.544260e-03
0.095         	1.564182e-03	7.429075e-04	2.511509e-03
0.0955        	1.537236e-03	7.271072e-04	2.478249e-03
0.096         	1.509399e-03	7.126522e-04	2.446277e-03
0.0965        	1.481377e-03	6.992504e-04	2.412305e-03
0.097         	1.452947e-03	6.872138e-04	2.378889e-03
0.0975        	1.424152e-03	6.763246e-04	2.347621e-03
0.098         	1.395150e-03	6.662834e-04	2.313978e-03
0.0985        	1.365904e-03	6.572701e-04	2.280939e-03
0.099         	1.336493e-03	6.489830e-04	2.248326e-03
0.0995        	1.307193e-03	6.414219e-04	2.215061e-03
0.1           	1.278040e-03	6.341866e-04	2.183289e-03
0.1005        	1.249154e-03	6.274981e-04	2.148223e-03
0.101         	1.220676e-03	6.208856e-04	2.114405e-03
0.1015        	1.192513e-03	6.145974e-04	2.081619e-03
0.102         	1.165173e-03	6.086681e-04	2.046541e-03
0.1025        	1.138515e-03	6.029709e-04	2.014561e-03
0.103         	1.112549e-03	5.973342e-04	1.983398e-03
0.1035        	1.087422e-03	5.914017e-04	1.951901e-03
0.104         	1.062668e-03	5.854623e-04	1.919759e-03
0.1045        	1.038912e-03	5.791147e-04	1.886688e-03
0.105         	1.015693e-03	5.724727e-04	1.855527e-03
0.1055        	9.931933e-04	5.655492e-04	1.824459e-03
0.106         	9.715764e-04	5.583029e-04	1.793141e-03
0.1065        	9.505917e-04	5.510164e-04	1.761600e-03
0.107         	9.304625e-04	5.433635e-04	1.732229e-03
0.1075        	9.111503e-04	5.355780e-04	1.704383e-03
0.108         	8.925537e-04	5.275055e-04	1.678274e-03
0.1085        	8.747867e-04	5.193848e-04	1.652701e-03
0.109         	8.579365e-04	5.111800e-04	1.627479e-03
0.1095        	8.417205e-04	5.029708e-04	1.603323e-03
0.11          	8.263777e-04	4.948277e-04	1.578487e-03
0.1105        	8.119078e-04	4.867643e-04	1.555970e-03
0.111         	7.979286e-04	4.788769e-04	1.531079e-03
0.1115        	7.850389e-04	4.712162e-04	1.506466e-03
0.112         	7.726164e-04	4.638206e-04	1.481211e-03
0.1125        	7.609452e-04	4.567901e-04	1.455272e-03
0.113         	7.500078e-04	4.502156e-04	1.429695e-03
0.1135        	7.395597e-04	4.440288e-04	1.402400e-03
0.114         	7.296841e-04	4.384381e-04	1.376481e-03
0.1145        	7.203073e-04	4.331150e-04	1.349038e-03
0.115         	7.114619e-04	4.285277e-04	1.322261e-03
0.1155        	7.029831e-04	4.241297e-04	1.295170e-03
0.116         	6.946482e-04	4.204759e-04	1.268383e-03
0.1165        	6.863276e-04	4.170724e-04	1.242792e-03
0.117         	6.781989e-04	4.143491e-04	1.217295e-03
0.1175        	6.704998e-04	4.116606e-04	1.192942e-03
